Collection,CNY/USD,EUR/USD,JPY/USD,GBP/USD
2015/7/1,0.161065428,1.1084,0.00812876,1.5617
2015/8/1,0.157746223,1.0962,0.008065817,1.5603
2015/9/1,0.157022354,1.1263,0.008337502,1.5341
2015/10/1,0.15747352,1.12,0.008362602,1.5162
2015/11/1,0.156958816,1.1026,0.008285004,1.5428
2015/12/1,0.154965313,1.062,0.008138021,1.5074
2016/1/1,0.152111243,1.0803,0.00838223,1.4686
2016/2/1,0.152674506,1.0888,0.008260367,1.4367
2016/3/1,0.153685895,1.0847,0.008776549,1.3948
2016/4/1,0.154355432,1.1385,0.008923791,1.4204
2016/5/1,0.153126647,1.1516,0.009391435,1.4666
2016/6/1,0.151688559,1.1165,0.009128252,1.4395
2016/7/1,0.149756017,1.1145,0.009751341,1.3281
2016/8/1,0.150417265,1.1176,0.009778995,1.3209
2016/9/1,0.149857074,1.1194,0.009688045,1.3273
2016/10/1,0.148593797,1.121,0.009848336,1.284
2016/11/1,0.146140374,1.1042,0.009561144,1.2218
2016/12/1,0.144450452,1.0634,0.008745846,1.2596
2017/1/1,0.145021885,1.0416,0.008497621,1.2256
2017/2/1,0.145505298,1.0758,0.008826904,1.2643
2017/3/1,0.144990281,1.0564,0.00879817,1.2318
2017/4/1,0.145113176,1.0655,0.009012257,1.2479
2017/5/1,0.145241131,1.0912,0.008946144,1.2917
2017/6/1,0.146866881,1.1214,0.008989572,1.2894
2017/7/1,0.147640244,1.1367,0.008824568,1.2951
2017/8/1,0.149905979,1.1799,0.009063718,1.3206
2017/9/1,0.152242733,1.1878,0.009083477,1.2972
2017/10/1,0.150926287,1.1745,0.008880995,1.3268
2017/11/1,0.151020901,1.1618,0.008768853,1.3257
2017/12/1,0.151600691,1.191,0.008938148,1.3505
2018/1/1,0.155587537,1.205,0.008914245,1.3596
2018/2/1,0.158166859,1.2482,0.00913242,1.4247
2018/3/1,0.15819243,1.2216,0.009353662,1.3755
2018/4/1,0.158714262,1.2288,0.009434852,1.4032
2018/5/1,0.156881226,1.2,0.009116601,1.3611
2018/6/1,0.154647513,1.1679,0.009133254,1.3358
2018/7/1,0.148853382,1.1604,0.009030976,1.3133
2018/8/1,0.146014178,1.1666,0.008950949,1.312
2018/9/1,0.145861834,1.1566,0.008973439,1.2833
2018/10/1,0.144485244,1.1567,0.008775009,1.3032
2018/11/1,0.144101853,1.1396,0.008866034,1.2974
2018/12/1,0.145211098,1.1356,0.008807469,1.2742
2019/1/1,0.147300505,1.1357,0.009155832,1.2598
2019/2/1,0.148408335,1.1474,0.009128252,1.3094
2019/3/1,0.148975348,1.1376,0.008937349,1.3222
2019/4/1,0.148871066,1.121,0.008985533,1.3144
2019/5/1,0.145752538,1.1246,0.008994423,1.3091
2019/6/1,0.144902861,1.1206,0.009225943,1.2621
2019/7/1,0.145407719,1.1307,0.009223391,1.2644
2019/8/1,0.141589091,1.1062,0.009235316,1.2145
2019/9/1,0.140493184,1.0968,0.009444654,1.2086
2019/10/1,0.140887833,1.0932,0.009285051,1.2242
2019/11/1,0.142461852,1.1169,0.009245562,1.295
2019/12/1,0.142525039,1.1075,0.009166743,1.2936
2020/1/1,0.144475182,1.1166,0.00922254,1.3128
2020/2/1,0.142917883,1.1062,0.009208951,1.3006
2020/3/1,0.142411821,1.1164,0.009257545,1.2791
2020/4/1,0.141324798,1.0934,0.009341429,1.2394
2020/5/1,0.140703891,1.0998,0.009366804,1.2509
2020/6/1,0.141150512,1.1123,0.009297136,1.2472
2020/7/1,0.142660801,1.1259,0.009302326,1.2474
